1753838786.330,-1000.000,-1000.000,967.285,967.285,0.000
1753838786.334,-1000.000,-1000.000,967.285,967.285,0.000
1753838786.338,-1000.000,-1000.000,967.285,967.285,0.000
1753838786.342,-1000.000,-1000.000,967.285,966.797,0.000
1753838786.346,-1000.000,-1000.000,967.285,967.285,0.000
1753838786.350,-1000.000,-1000.000,967.285,967.285,0.000
1753838786.354,-1000.000,-1000.000,967.285,967.285,0.000
1753838786.358,-1000.000,-1000.000,967.285,967.285,0.000
1753838786.362,-1000.000,-1000.000,974.609,967.773,0.000
1753838786.366,-928.223,-961.426,899.414,904.297,0.000
1753838786.370,-1000.000,-1000.000,-907.227,-900.879,0.000
1753838786.373,-478.516,-1000.000,381.348,270.020,0.000
